,Quarter,Tm,Detail,NWE,SEA
0,1.0,Seahawks,Norm Johnson 29 yard field goal,0,3
1,2.0,Seahawks,Steve Largent 46 yard pass from Dave Krieg (Norm Johnson kick),0,10
2,2.0,Patriots,Derrick Ramsey 33 yard pass from Tony Eason,6,10
3,3.0,Seahawks,Dan Doornink 16 yard pass from Dave Krieg (Norm Johnson kick),6,17
4,4.0,Seahawks,Dave Krieg 2 yard rush (Norm Johnson kick),6,24
