,Quarter,Tm,Detail,BAL,DET
0,2.0,Colts,Lenny Moore 9 yard rush (Steve Myhra kick),7,0
1,3.0,Lions,Gail Cogdill 45 yard pass from Jim Ninowski (Wayne Walker kick),7,7
2,3.0,Lions,Gail Cogdill 35 yard pass from Jim Ninowski (Wayne Walker kick),7,14
3,4.0,Colts,Lenny Moore 1 yard rush (Steve Myhra kick),14,14
4,4.0,Colts,Steve Myhra 45 yard field goal,17,14
