,Quarter,Time,Tm,Detail,DAL,DET
0,1.0,0:54,Lions,Calvin Johnson 2 yard pass from Matthew Stafford (David Akers kick),0,7
1,2.0,5:39,Cowboys,Dan Bailey 53 yard field goal,3,7
2,2.0,0:46,Cowboys,Dez Bryant 5 yard pass from Tony Romo (Dan Bailey kick),10,7
3,3.0,3:02,Cowboys,Dan Bailey 53 yard field goal,13,7
4,4.0,13:13,Lions,David Akers 20 yard field goal,13,10
5,4.0,11:32,Cowboys,Terrance Williams 60 yard pass from Tony Romo (Dan Bailey kick),20,10
6,4.0,7:38,Lions,Joique Bell 1 yard rush (David Akers kick),20,17
7,4.0,6:45,Cowboys,Dez Bryant 50 yard pass from Tony Romo (Dan Bailey kick),27,17
8,4.0,3:33,Lions,Reggie Bush 1 yard rush (David Akers kick),27,24
9,4.0,1:02,Cowboys,Dan Bailey 44 yard field goal,30,24
10,4.0,0:12,Lions,Matthew Stafford 1 yard rush (David Akers kick),30,31
