,Quarter,Tm,Detail,MIA,PIT
0,2.0,Steelers,Matt Bahr 32 yard field goal,0,3
1,2.0,Steelers,Lynn Swann 30 yard pass from Terry Bradshaw (Matt Bahr kick),0,10
2,2.0,Dolphins,Uwe von Schamann 42 yard field goal,3,10
3,2.0,Steelers,Matt Bahr 33 yard field goal,3,13
4,3.0,Steelers,Matt Bahr 30 yard field goal,3,16
5,4.0,Dolphins,Nat Moore 31 yard pass from David Woodley (Uwe von Schamann kick),10,16
6,4.0,Steelers,Franco Harris 9 yard rush (Matt Bahr kick),10,23
