,Quarter,Time,Tm,Detail,KAN,IND
0,1.0,6:58,Colts,Mike Vanderjagt 47 yard field goal,0,3
1,1.0,0:16,Chiefs,Pete Stoyanovich 38 yard field goal,3,3
2,2.0,12:42,Colts,Mike Vanderjagt 34 yard field goal,3,6
3,2.0,8:51,Chiefs,Donnell Bennett 23 yard rush (Pete Stoyanovich kick),10,6
4,2.0,5:45,Colts,Edgerrin James 30 yard pass from Peyton Manning (Mike Vanderjagt kick),10,13
5,3.0,8:57,Chiefs,Kevin Lockett 18 yard pass from Elvis Grbac (Pete Stoyanovich kick),17,13
6,3.0,4:00,Colts,Mike Vanderjagt 29 yard field goal,17,16
7,4.0,10:49,Colts,Peyton Manning 7 yard rush (pass failed),17,22
8,4.0,1:10,Colts,Mike Vanderjagt 37 yard field goal,17,25
