,Quarter,Tm,Detail,PIT,PHI
0,1.0,Eagles,Tommy McDonald 13 yard pass from Sonny Jurgensen (Mike Clark kick),0,7
1,2.0,Steelers,Lou Michaels 38 yard field goal,3,7
2,2.0,Steelers,Lou Michaels 50 yard field goal,6,7
3,3.0,Eagles,Ralph Smith 6 yard pass from Sonny Jurgensen (Mike Clark kick),6,14
4,4.0,Steelers,Lou Michaels 17 yard field goal,9,14
5,4.0,Steelers,John Henry Johnson 1 yard rush,15,14
6,4.0,Eagles,Tommy McDonald 75 yard pass from Sonny Jurgensen (Mike Clark kick),15,21
7,4.0,Steelers,John Henry Johnson 11 yard pass from Ed Brown,21,21
