,Quarter,Tm,Detail,PIT,MIN
0,1.0,Steelers,Mike Clark 12 yard field goal,3,0
1,1.0,Vikings,Bill Brown 6 yard pass from Fran Tarkenton,3,6
2,2.0,Steelers,Dick Hoak 17 yard pass from Ed Brown (Mike Clark kick),10,6
3,2.0,Vikings,Bill Brown 59 yard pass from Fran Tarkenton (Fred Cox kick),10,13
4,3.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),10,20
5,4.0,Vikings,Fred Cox 25 yard field goal,10,23
6,4.0,Vikings,Rip Hawkins 56 yard interception return (Fred Cox kick),10,30
