,Quarter,Tm,Detail,SDG,SEA
0,1.0,Seahawks,Efren Herrera 46 yard field goal,0,3
1,1.0,Chargers,Rolf Benirschke 41 yard field goal,3,3
2,2.0,Chargers,Greg McCrary 1 yard pass from Dan Fouts (Rolf Benirschke kick),10,3
3,2.0,Chargers,Charlie Joiner 19 yard pass from Dan Fouts (Rolf Benirschke kick),17,3
4,2.0,Chargers,John Jefferson 10 yard pass from Dan Fouts (Rolf Benirschke kick),24,3
5,3.0,Seahawks,Efren Herrera 28 yard field goal,24,6
6,3.0,Chargers,John Jefferson 23 yard pass from Dan Fouts (Rolf Benirschke kick),31,6
7,4.0,Seahawks,Sam McCullum 36 yard pass from Jim Zorn (Efren Herrera kick),31,13
8,4.0,Chargers,Rolf Benirschke 29 yard field goal,34,13
