,Quarter,Time,Tm,Detail,MIA,NWE
0,1.0,2:29,Dolphins,Ronnie Brown 2 yard rush (Dan Carpenter kick),7,0
1,2.0,11:31,Patriots,Stephen Gostkowski 37 yard field goal,7,3
2,2.0,8:19,Dolphins,Ronnie Brown 15 yard rush (Dan Carpenter kick),14,3
3,2.0,4:54,Patriots,Stephen Gostkowski 44 yard field goal,14,6
4,2.0,0:59,Dolphins,Ronnie Brown 5 yard rush (Dan Carpenter kick),21,6
5,3.0,5:46,Dolphins,Anthony Fasano 19 yard pass from Ronnie Brown (Dan Carpenter kick),28,6
6,3.0,3:20,Patriots,Jabar Gaffney 5 yard pass from Matt Cassel (Stephen Gostkowski kick),28,13
7,4.0,14:49,Dolphins,Ronnie Brown 62 yard rush (Dan Carpenter kick),35,13
8,4.0,6:08,Dolphins,Dan Carpenter 39 yard field goal,38,13
