,Quarter,Tm,Detail,CHI,NYG
0,1.0,Giants,Ray Flaherty 25 yard pass from Jack McBride,0,6
1,1.0,Bears,Red Grange 17 yard pass from Keith Molesworth (Tiny Engebretsen kick),7,6
2,2.0,Bears,Red Grange 55 yard pass from Bronko Nagurski (Tiny Engebretsen kick),14,6
3,2.0,Bears,Luke Johnsos blocked punt recovery in end zone (Tiny Engebretsen kick),21,6
4,4.0,Giants,Safety,21,8
5,4.0,Bears,Red Grange 7 yard rush (Cookie Tackwell kick),28,8
