,Quarter,Tm,Detail,NYG,KAN
0,2.0,Chiefs,Nick Lowery 23 yard field goal,0,3
1,2.0,Giants,Rob Carpenter 15 yard pass from Scott Brunner (Ali Haji-Sheikh kick),7,3
2,2.0,Chiefs,Willie Scott 4 yard pass from Bill Kenney (Nick Lowery kick),7,10
3,2.0,Giants,Butch Woolfolk 8 yard rush (Ali Haji-Sheikh kick),14,10
4,3.0,Giants,Ali Haji-Sheikh 21 yard field goal,17,10
5,3.0,Chiefs,Henry Marshall 46 yard pass from Bill Kenney (Nick Lowery kick),17,17
6,3.0,Chiefs,Durwood Roquemore 42 yard interception return (Nick Lowery kick),17,24
7,4.0,Chiefs,Henry Marshall 21 yard pass from Bill Kenney (Nick Lowery kick),17,31
8,4.0,Chiefs,Theotis Brown 2 yard pass from Bill Kenney (Nick Lowery kick),17,38
