,Quarter,Tm,Detail,MIN,SFO
0,1,49ers,Billy Kilmer 3 yard rush (Tommy Davis kick),0,7
1,2,49ers,Billy Kilmer 2 yard rush (Tommy Davis kick),0,14
2,3,49ers,Clyde Conner 8 yard pass from John Brodie (Tommy Davis kick),0,21
3,4,Vikings,Bobby Reed 37 yard pass from Fran Tarkenton (Mike Mercer kick),7,21
