,Quarter,Tm,Detail,DAL,KAN
0,1.0,Chiefs,Ed Podolak 5 yard rush (Jan Stenerud kick),0,7
1,1.0,Cowboys,Mike Clark 38 yard field goal,3,7
2,2.0,Cowboys,Mike Clark 34 yard field goal,6,7
3,2.0,Cowboys,Duane Thomas 1 yard rush (Mike Clark kick),13,7
4,2.0,Chiefs,Jan Stenerud 25 yard field goal,13,10
5,3.0,Cowboys,Duane Thomas 47 yard rush (Mike Clark kick),20,10
6,3.0,Cowboys,Bob Hayes 89 yard pass from Craig Morton (Mike Clark kick),27,10
7,4.0,Chiefs,Jan Stenerud 32 yard field goal,27,13
8,4.0,Chiefs,Jan Stenerud 22 yard field goal,27,16
