,Quarter,Tm,Detail,BUF,NYJ
0,1.0,Jets,Cary Blanchard 42 yard field goal,0,3
1,2.0,Bills,Kenneth Davis 2 yard rush (Steve Christie kick),7,3
2,2.0,Jets,Cary Blanchard 40 yard field goal,7,6
3,2.0,Bills,James Lofton 16 yard pass from Jim Kelly (Steve Christie kick),14,6
4,3.0,Jets,Pat Chaffey 1 yard rush (Cary Blanchard kick),14,13
5,3.0,Bills,Steve Christie 33 yard field goal,17,13
6,4.0,Jets,Brad Baxter 1 yard rush (Cary Blanchard kick),17,20
7,4.0,Bills,Thurman Thomas 12 yard pass from Jim Kelly (Steve Christie kick),24,20
