,Quarter,Tm,Detail,IND,CLE
0,1.0,Colts,Dean Biasucci 30 yard field goal,3,0
1,1.0,Browns,Ozzie Newsome 14 yard pass from Mike Pagel (Matt Bahr kick),3,7
2,2.0,Browns,Matt Bahr 21 yard field goal,3,10
3,2.0,Colts,Eric Dickerson 41 yard rush (Dean Biasucci kick),10,10
4,2.0,Browns,Webster Slaughter 17 yard pass from Mike Pagel (Matt Bahr kick),10,17
5,3.0,Browns,Matt Bahr 29 yard field goal,10,20
6,4.0,Browns,Matt Bahr 40 yard field goal,10,23
7,4.0,Colts,Clarence Verdin 73 yard punt return (Dean Biasucci kick),17,23
