,Quarter,Time,Tm,Detail,SFO,CHI
0,1,7:30,49ers,Julian Peterson 26 yard defensive fumble return (Jose Cortez kick),7,0
1,1,1:03,49ers,Justin Swift 1 yard pass from Jeff Garcia (Jose Cortez kick),14,0
2,2,1:50,Bears,"Safety,",14,2
3,2,0:48,Bears,Daimon Shelton 3 yard pass from Shane Matthews (Paul Edinger kick),14,9
4,3,13:24,49ers,Garrison Hearst 60 yard pass from Jeff Garcia (Jose Cortez kick),21,9
5,3,8:18,49ers,Zack Bronson 97 yard interception return (Jose Cortez kick),28,9
6,3,4:58,Bears,Anthony Thomas 19 yard rush (Paul Edinger kick),28,16
7,4,7:47,49ers,Jose Cortez 40 yard field goal,31,16
8,4,4:08,Bears,David Terrell 13 yard pass from Shane Matthews (Paul Edinger kick),31,23
9,4,0:26,Bears,David Terrell 4 yard pass from Shane Matthews (Anthony Thomas run),31,31
10,OT,14:44,Bears,Mike Brown 33 yard interception return,31,37
