,Quarter,Tm,Detail,CIN,DEN
0,1.0,Bengals,Horst Muhlmann 43 yard field goal,3,0
1,2.0,Bengals,Horst Muhlmann 14 yard field goal,6,0
2,2.0,Bengals,Horst Muhlmann 30 yard field goal,9,0
3,2.0,Broncos,John Embree 37 yard pass from Pete Liske (Bobby Howfield kick),9,7
4,3.0,Broncos,Tom Buckman 4 yard pass from Pete Liske (Bobby Howfield kick),9,14
5,3.0,Bengals,Speedy Thomas 24 yard pass from Greg Cook (Horst Muhlmann kick),16,14
6,4.0,Broncos,Bobby Howfield 51 yard field goal,16,17
7,4.0,Broncos,John Embree 3 yard pass from Pete Liske (Bobby Howfield kick),16,24
8,4.0,Broncos,Bobby Howfield 9 yard field goal,16,27
