,Quarter,Tm,Detail,NWE,BAL
0,1.0,Colts,Mike Wood 49 yard field goal,0,3
1,1.0,Patriots,Rex Robinson 24 yard field goal,3,3
2,2.0,Colts,Mike Pagel 1 yard rush (Mike Wood kick),3,10
3,2.0,Patriots,Tony Collins 15 yard pass from Matt Cavanaugh (Rex Robinson kick),10,10
4,3.0,Colts,Mike Wood 30 yard field goal,10,13
5,3.0,Patriots,Ken Toler 30 yard pass from Matt Cavanaugh (Rex Robinson kick),17,13
6,4.0,Patriots,Robert Weathers 1 yard rush (Rex Robinson kick),24,13
