,Quarter,Time,Tm,Detail,BUF,MIA
0,1.0,,Dolphins,Pete Stoyanovich 24 yard field goal,0,3
1,2.0,,Bills,Steve Christie 33 yard field goal,3,3
2,2.0,,Dolphins,Pete Stoyanovich 33 yard field goal,3,6
3,3.0,,Bills,Steve Christie 32 yard field goal,6,6
4,3.0,,Dolphins,Bernie Parmalee 20 yard rush (Pete Stoyanovich kick),6,13
5,4.0,,Dolphins,Terry Kirby 11 yard rush (Pete Stoyanovich kick),6,20
6,4.0,,Dolphins,Pete Stoyanovich 22 yard field goal,6,23
