,Quarter,Time,Tm,Detail,CAR,NYG
0,2.0,9:41,Panthers,Steve Smith 22 yard pass from Jake Delhomme (John Kasay kick),7,0
1,2.0,0:30,Panthers,John Kasay 31 yard field goal,10,0
2,3.0,6:57,Panthers,Steve Smith 12 yard rush (John Kasay kick),17,0
3,4.0,13:33,Panthers,John Kasay 45 yard field goal,20,0
4,4.0,2:40,Panthers,John Kasay 18 yard field goal,23,0
