,Quarter,Tm,Detail,GNB,PIT
0,1.0,Steelers,"Safety, ball snapped out of end zone",0,2
1,1.0,Packers,Gerry Ellis 7 yard pass from Lynn Dickey (Tom Birney kick),7,2
2,2.0,Steelers,Lynn Swann 7 yard pass from Terry Bradshaw (Matt Bahr kick),7,9
3,2.0,Packers,Gerry Ellis 69 yard pass from Lynn Dickey (Tom Birney kick),14,9
4,3.0,Steelers,Matt Bahr 27 yard field goal,14,12
5,3.0,Steelers,Matt Bahr 18 yard field goal,14,15
6,4.0,Steelers,Rocky Bleier 4 yard pass from Terry Bradshaw (Matt Bahr kick),14,22
7,4.0,Packers,Aundra Thompson 14 yard pass from Lynn Dickey,20,22
