,Quarter,Time,Tm,Detail,TEN,DAL
0,1.0,12:40,Titans,Nate Washington 24 yard pass from Vince Young (Rob Bironas kick),7,0
1,1.0,5:22,Titans,Rob Bironas 52 yard field goal,10,0
2,1.0,0:57,Cowboys,David Buehler 51 yard field goal,10,3
3,2.0,12:28,Titans,Kenny Britt 12 yard pass from Vince Young (Rob Bironas kick),17,3
4,2.0,1:06,Cowboys,Roy Williams 6 yard pass from Tony Romo (David Buehler kick),17,10
5,3.0,13:34,Cowboys,Miles Austin 69 yard pass from Tony Romo (David Buehler kick),17,17
6,3.0,0:19,Titans,Rob Bironas 40 yard field goal,20,17
7,4.0,10:14,Cowboys,David Buehler 26 yard field goal,20,20
8,4.0,7:26,Titans,Chris Johnson 1 yard rush (Rob Bironas kick),27,20
9,4.0,4:30,Cowboys,Jason Witten 18 yard pass from Tony Romo (David Buehler kick),27,27
10,4.0,3:28,Titans,Chris Johnson 1 yard rush (Rob Bironas kick),34,27
