,Quarter,Tm,Detail,RAM,MIN
0,1.0,Rams,Bob Klein 3 yard pass from Roman Gabriel (Bruce Gossett kick),7,0
1,1.0,Vikings,Dave Osborn 1 yard rush (Fred Cox kick),7,7
2,2.0,Rams,Bruce Gossett 20 yard field goal,10,7
3,2.0,Rams,Billy Truax 2 yard pass from Roman Gabriel (Bruce Gossett kick),17,7
4,3.0,Vikings,Dave Osborn 1 yard rush (Fred Cox kick),17,14
5,4.0,Rams,Bruce Gossett 27 yard field goal,20,14
6,4.0,Vikings,Joe Kapp 2 yard rush (Fred Cox kick),20,21
7,4.0,Vikings,"Safety, Gabriel tackled in end zone by Eller",20,23
