,Quarter,Tm,Detail,OAK,ATL
0,1.0,Falcons,Tom Hayes 60 yard defensive fumble return (Bill Bell kick),0,7
1,1.0,Raiders,George Blanda 27 yard field goal,3,7
2,2.0,Falcons,Art Malone 15 yard pass from Bob Berry (Bill Bell kick),3,14
3,2.0,Falcons,Bill Bell 41 yard field goal,3,17
4,3.0,Raiders,George Blanda 12 yard field goal,6,17
5,3.0,Raiders,Fred Biletnikoff 31 yard pass from Daryle Lamonica (George Blanda kick),13,17
6,4.0,Falcons,Art Malone 1 yard rush (Bill Bell kick),13,24
