,Quarter,Tm,Detail,SDG,SEA
0,1.0,Chargers,Rickey Young 1 yard rush (Rolf Benirschke kick),7,0
1,1.0,Chargers,Rolf Benirschke 40 yard field goal,10,0
2,2.0,Chargers,Rolf Benirschke 26 yard field goal,13,0
3,2.0,Seahawks,Don Testerman 5 yard pass from Jim Zorn (John Leypoldt kick),13,7
4,2.0,Seahawks,Steve Largent 27 yard pass from Jim Zorn (John Leypoldt kick),13,14
5,3.0,Chargers,Rolf Benirschke 39 yard field goal,16,14
6,3.0,Seahawks,Steve Largent 10 yard pass from Jim Zorn (John Leypoldt kick),16,21
7,4.0,Chargers,Charlie Joiner 17 yard pass from Dan Fouts (Rolf Benirschke kick),23,21
8,4.0,Chargers,Fred Dean 22 yard interception return (Rolf Benirschke kick),30,21
9,4.0,Seahawks,David Sims 16 yard pass from Jim Zorn (John Leypoldt kick),30,28
