,Quarter,Time,Tm,Detail,TAM,DET
0,1.0,7:30,Buccaneers,Breshad Perriman 34 yard pass from Jameis Winston (Matt Gay kick),7,0
1,1.0,3:49,Buccaneers,Scott Miller 33 yard pass from Jameis Winston (Matt Gay kick),14,0
2,2.0,8:19,Buccaneers,Breshad Perriman 25 yard pass from Jameis Winston (Matt Gay kick),21,0
3,2.0,3:21,Lions,Matt Prater 44 yard field goal,21,3
4,3.0,11:36,Buccaneers,Matt Gay 46 yard field goal,24,3
5,3.0,6:49,Lions,Wes Hills 1 yard rush (Matt Prater kick),24,10
6,4.0,15:00,Lions,Wes Hills 1 yard rush (Matt Prater kick),24,17
7,4.0,5:23,Buccaneers,Sean Murphy-Bunting 70 yard interception return (Matt Gay kick),31,17
8,4.0,3:04,Buccaneers,Breshad Perriman 25 yard pass from Jameis Winston (Matt Gay kick),38,17
