,Quarter,Time,Tm,Detail,NYG,TEN
0,1.0,,Oilers,Al Del Greco 31 yard field goal,0,3
1,2.0,,Oilers,Eddie George 1 yard rush (Al Del Greco kick),0,10
2,2.0,,Giants,Brad Daluiso 42 yard field goal,3,10
3,3.0,,Giants,Brad Daluiso 41 yard field goal,6,10
