,Quarter,Time,Tm,Detail,GNB,HOU
0,2.0,9:21,Packers,Ryan Longwell 23 yard field goal,3,0
1,2.0,7:23,Texans,Domanick Williams 6 yard pass from David Carr (Kris Brown kick),3,7
2,2.0,1:48,Texans,Kris Brown 46 yard field goal,3,10
3,2.0,0:17,Texans,Kris Brown 40 yard field goal,3,13
4,4.0,12:28,Packers,Donald Driver 24 yard pass from Brett Favre (Ryan Longwell kick),10,13
5,4.0,7:55,Packers,Ryan Longwell 39 yard field goal,13,13
6,4.0,0:00,Packers,Ryan Longwell 46 yard field goal,16,13
