,Quarter,Time,Tm,Detail,SEA,OAK
0,1.0,10:47,Seahawks,Rian Lindell 44 yard field goal,3,0
1,1.0,3:05,Raiders,Tim Brown 16 yard pass from Rich Gannon (Sebastian Janikowski kick),3,7
2,2.0,11:51,Raiders,Tim Brown 9 yard pass from Rich Gannon (Sebastian Janikowski kick),3,14
3,2.0,7:36,Raiders,Tyrone Wheatley 80 yard rush (Sebastian Janikowski kick),3,21
4,4.0,13:33,Raiders,Sebastian Janikowski 32 yard field goal,3,24
5,4.0,8:28,Raiders,James Jett 23 yard pass from Rich Gannon (Sebastian Janikowski kick),3,31
