,Quarter,Time,Tm,Detail,MIA,GNB
0,1.0,6:07,Packers,Davante Adams 7 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
1,1.0,1:18,Dolphins,Jason Sanders 37 yard field goal,3,7
2,2.0,14:53,Packers,Aaron Jones 2 yard rush (Mason Crosby kick),3,14
3,2.0,10:29,Dolphins,Jason Sanders 25 yard field goal,6,14
4,2.0,2:49,Dolphins,Jason Sanders 47 yard field goal,9,14
5,3.0,11:43,Dolphins,Jason Sanders 40 yard field goal,12,14
6,3.0,9:33,Packers,Aaron Jones 10 yard rush (Mason Crosby kick),12,21
7,3.0,7:25,Packers,Davante Adams 25 yard pass from Aaron Rodgers (Mason Crosby kick),12,28
8,4.0,8:53,Packers,Mason Crosby 38 yard field goal,12,31
