,Quarter,Tm,Detail,OAK,PHI
0,3.0,Eagles,Tony Franklin 51 yard field goal,0,3
1,4.0,Raiders,Cliff Branch 86 yard pass from Jim Plunkett (Chris Bahr kick),7,3
2,4.0,Eagles,Wilbert Montgomery 3 yard rush (Tony Franklin kick),7,10
