,Quarter,Tm,Detail,MIA,BAL
0,1,Colts,Tom Matte 7 yard rush (Jim O'Brien kick),0,7
1,2,Colts,Tom Matte 1 yard rush (Jim O'Brien kick),0,14
2,3,Dolphins,Garo Yepremian 17 yard field goal,3,14
