,Quarter,Tm,Detail,PIT,SFO
0,1.0,Steelers,Richard Bell 2 yard pass from Bubby Brister (Gary Anderson kick),7,0
1,2.0,49ers,Mike Cofer 39 yard field goal,7,3
2,2.0,49ers,Mike Sherrard 5 yard pass from Joe Montana (Mike Cofer kick),7,10
3,3.0,49ers,Mike Cofer 20 yard field goal,7,13
4,3.0,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),7,20
5,4.0,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),7,27
