,Quarter,Time,Tm,Detail,BAL,STL
0,1.0,8:56,Rams,Jeff Wilkins 36 yard field goal,0,3
1,2.0,13:28,Rams,Roland Williams 6 yard pass from Kurt Warner (Jeff Wilkins kick),0,10
2,2.0,6:00,Ravens,Matt Stover 25 yard field goal,3,10
3,2.0,0:33,Rams,Isaac Bruce 2 yard pass from Kurt Warner (Jeff Wilkins kick),3,17
4,3.0,0:15,Ravens,Brandon Stokley 28 yard pass from Scott Mitchell (Matt Stover kick),10,17
5,4.0,8:56,Rams,Jeff Wilkins 51 yard field goal,10,20
6,4.0,2:40,Rams,Torry Holt 19 yard pass from Kurt Warner (Jeff Wilkins kick),10,27
