,Quarter,Time,Tm,Detail,LAC,CHI
0,2.0,14:48,Bears,Eddy Pineiro 22 yard field goal,0,3
1,2.0,4:20,Bears,Eddy Pineiro 25 yard field goal,0,6
2,2.0,2:21,Chargers,Melvin Gordon 19 yard rush (Chase McLaughlin kick),7,6
3,2.0,0:01,Bears,Eddy Pineiro 19 yard field goal,7,9
4,3.0,8:12,Bears,David Montgomery 4 yard rush (Eddy Pineiro kick),7,16
5,3.0,0:42,Chargers,Chase McLaughlin 20 yard field goal,10,16
6,4.0,8:12,Chargers,Austin Ekeler 11 yard pass from Philip Rivers (Chase McLaughlin kick),17,16
