,Quarter,Time,Tm,Detail,CLE,PHI
0,1.0,,Browns,Mark Carrier 3 yard pass from Mark Rypien (Matt Stover kick),7,0
1,1.0,,Browns,Matt Stover 35 yard field goal,10,0
2,2.0,,Eagles,Vaughn Hebron 15 yard rush (Eddie Murray kick),10,7
3,2.0,,Browns,Matt Stover 41 yard field goal,13,7
4,3.0,,Browns,Matt Stover 22 yard field goal,16,7
5,3.0,,Browns,Matt Stover 36 yard field goal,19,7
6,4.0,,Browns,Earnest Byner 4 yard rush (Matt Stover kick),26,7
