,Quarter,Time,Tm,Detail,TAM,CHI
0,1.0,,Buccaneers,Mike Alstott 5 yard pass from Trent Dilfer (Michael Husted kick),7,0
1,2.0,,Bears,Ryan Wetnight 18 yard pass from Mike Horan (Jeff Jaeger kick),7,7
2,2.0,,Bears,Curtis Conway 21 yard pass from Moses Moreno (Jeff Jaeger kick),7,14
3,2.0,,Buccaneers,Ronde Barber 23 yard punt return (Michael Husted kick),14,14
4,2.0,0:00,Buccaneers,Brice Hunter 45 yard pass from Trent Dilfer (Michael Husted kick),21,14
5,3.0,0:00,Buccaneers,Reidel Anthony 14 yard pass from Trent Dilfer (Michael Husted kick),28,14
6,3.0,0:00,Buccaneers,Michael Husted 28 yard field goal,31,14
7,4.0,0:00,Bears,Jeff Jaeger 33 yard field goal,31,17
