,Quarter,Tm,Detail,MIA,BUF
0,1.0,Dolphins,Delvin Williams 25 yard rush (Garo Yepremian kick),7,0
1,1.0,Bills,Reuben Gant 5 yard pass from Joe Ferguson (Tom Dempsey kick),7,7
2,2.0,Dolphins,Garo Yepremian 47 yard field goal,10,7
3,2.0,Dolphins,Delvin Williams 26 yard rush,16,7
4,2.0,Bills,Curtis Brown 58 yard rush (Tom Dempsey kick),16,14
5,2.0,Dolphins,Nat Moore 16 yard pass from Bob Griese,22,14
6,2.0,Bills,Tom Dempsey 33 yard field goal,22,17
7,3.0,Dolphins,Garo Yepremian 24 yard field goal,25,17
8,4.0,Bills,Frank Lewis 14 yard pass from Joe Ferguson (Tom Dempsey kick),25,24
