,Quarter,Time,Tm,Detail,MIN,SFO
0,1.0,9:33,49ers,Kendrick Bourne 3 yard pass from Jimmy Garoppolo (Robbie Gould kick),0,7
1,1.0,5:30,Vikings,Stefon Diggs 41 yard pass from Kirk Cousins (Dan Bailey kick),7,7
2,2.0,7:13,49ers,Tevin Coleman 1 yard rush (Robbie Gould kick),7,14
3,2.0,0:36,Vikings,Dan Bailey 39 yard field goal,10,14
4,3.0,10:47,49ers,Robbie Gould 35 yard field goal,10,17
5,3.0,4:57,49ers,Tevin Coleman 2 yard rush (Robbie Gould kick),10,24
6,4.0,14:17,49ers,Robbie Gould 21 yard field goal,10,27
