,Quarter,Tm,Detail,RAM,DET
0,1.0,Lions,Art Van Tone 39 yard pass from Frankie Sinkwich (Frankie Sinkwich kick),0,7
1,1.0,Lions,Frankie Sinkwich 5 yard rush (Frankie Sinkwich kick),0,14
2,2.0,Lions,Frankie Sinkwich 18 yard field goal,0,17
3,2.0,Rams,Albie Reisz 27 yard rush,6,17
4,3.0,Rams,Steve Pritko 9 yard pass from Tom Colella (Walter West kick),13,17
5,4.0,Rams,Steve Pritko 48 yard pass from Albie Reisz (Walter West kick),20,17
