,Quarter,Tm,Detail,NYJ,BUF
0,2.0,Jets,Mickey Shuler 20 yard pass from Ken O'Brien (Pat Leahy kick),7,0
1,2.0,Jets,Wesley Walker 96 yard pass from Ken O'Brien (Pat Leahy kick),14,0
2,2.0,Jets,Johnny Hector 12 yard rush (Pat Leahy kick),21,0
3,3.0,Bills,Greg Bell 8 yard rush (Scott Norwood kick),21,7
4,4.0,Jets,Mickey Shuler 2 yard pass from Ken O'Brien,27,7
