,Quarter,Time,Tm,Detail,CIN,SFO
0,2.0,5:16,Bengals,Jeremy Hill 1 yard rush (Mike Nugent kick),7,0
1,2.0,1:17,Bengals,Jeremy Hill 1 yard rush (Mike Nugent kick),14,0
2,2.0,0:53,Bengals,Tyler Kroft 20 yard pass from A.J. McCarron (Mike Nugent kick),21,0
3,3.0,8:40,Bengals,Mike Nugent 22 yard field goal,24,0
4,3.0,3:14,49ers,Bruce Miller 1 yard rush (Phil Dawson kick),24,7
5,4.0,2:17,49ers,Anquan Boldin 15 yard pass from Blaine Gabbert (Phil Dawson kick),24,14
