,Quarter,Tm,Detail,ATL,NOR
0,2.0,Saints,Rich Szaro 36 yard field goal,0,3
1,2.0,Saints,Mike Strachan 3 yard rush (Rich Szaro kick),0,10
2,3.0,Saints,Larry Burton 71 yard pass from Archie Manning (Rich Szaro kick),0,17
3,3.0,Saints,Rich Szaro 47 yard field goal,0,20
4,4.0,Falcons,Wallace Francis 24 yard pass from Pat Sullivan (Nick Mike-Mayer kick),7,20
5,4.0,Saints,Rich Szaro 25 yard field goal,7,23
