,Quarter,Tm,Detail,GNB,STL
0,1.0,Packers,Herb Adderley 12 yard interception return (Don Chandler kick),7,0
1,1.0,Cardinals,Jim Bakken 12 yard field goal,7,3
2,2.0,Packers,Elijah Pitts 7 yard rush (Don Chandler kick),14,3
3,2.0,Cardinals,Dave Williams 49 yard pass from Jim Hart (Jim Bakken kick),14,10
4,2.0,Cardinals,Jim Bakken 22 yard field goal,14,13
5,2.0,Cardinals,Dave Williams 48 yard pass from Jim Hart (Jim Bakken kick),14,20
6,3.0,Packers,Don Chandler 43 yard field goal,17,20
7,4.0,Cardinals,Jim Bakken 8 yard field goal,17,23
8,4.0,Packers,Travis Williams 93 yard kickoff return (Don Chandler kick),24,23
9,4.0,Packers,Boyd Dowler 5 yard pass from Bart Starr (Don Chandler kick),31,23
