,Quarter,Tm,Detail,OAK,NOR
0,1.0,Raiders,Raymond Chester 3 yard pass from Ken Stabler (Jim Breech kick),7,0
1,2.0,Saints,Tony Galbreath 2 yard rush (Garo Yepremian kick),7,7
2,2.0,Saints,Tony Galbreath 17 yard pass from Archie Manning (Garo Yepremian kick),7,14
3,2.0,Saints,Chuck Muncie 1 yard rush (Garo Yepremian kick),7,21
4,2.0,Saints,Henry Childs 28 yard pass from Archie Manning (Garo Yepremian kick),7,28
5,2.0,Raiders,Arthur Whittington 1 yard rush (Jim Breech kick),14,28
6,3.0,Saints,Ken Bordelon 19 yard interception return (Garo Yepremian kick),14,35
7,3.0,Raiders,Mark van Eeghen 1 yard rush (Jim Breech kick),21,35
8,4.0,Raiders,Derrick Ramsey 17 yard pass from Ken Stabler (Jim Breech kick),28,35
9,4.0,Raiders,Cliff Branch 66 yard pass from Ken Stabler (Jim Breech kick),35,35
10,4.0,Raiders,Cliff Branch 8 yard pass from Ken Stabler (Jim Breech kick),42,35
