,Quarter,Time,Tm,Detail,LAR,ARI
0,1.0,10:00,Rams,Greg Zuerlein 27 yard field goal,3,0
1,2.0,14:22,Rams,Tyler Higbee 2 yard pass from Jared Goff (Greg Zuerlein kick),10,0
2,2.0,2:48,Rams,Todd Gurley 1 yard rush (Greg Zuerlein kick),17,0
3,2.0,0:04,Rams,Greg Zuerlein 33 yard field goal,20,0
4,3.0,8:49,Rams,Cooper Kupp 10 yard pass from Jared Goff (Greg Zuerlein kick),27,0
5,3.0,8:39,Rams,Taylor Rapp 31 yard interception return (Greg Zuerlein kick),34,0
6,4.0,8:43,Cardinals,Kyler Murray 15 yard rush (Zane Gonzalez kick),34,7
