,Quarter,Tm,Detail,DEN,SFO
0,1.0,49ers,Bruce Gossett 16 yard field goal,0,3
1,1.0,Broncos,Floyd Little 80 yard rush (Bobby Howfield kick),7,3
2,2.0,49ers,Bruce Gossett 20 yard field goal,7,6
3,2.0,Broncos,Willis Crenshaw 10 yard pass from Pete Liske (Bobby Howfield kick),14,6
4,3.0,49ers,John Isenbarger 61 yard pass from John Brodie (Bruce Gossett kick),14,13
5,3.0,49ers,Bruce Gossett 25 yard field goal,14,16
6,4.0,49ers,Bruce Gossett 13 yard field goal,14,19
