,Quarter,Tm,Detail,RAM,GNB
0,1.0,Rams,Mike Lansford 21 yard field goal,3,0
1,2.0,Packers,Eddie Lee Ivery 1 yard rush (Al Del Greco kick),3,7
2,2.0,Rams,Mike Lansford 50 yard field goal,6,7
3,2.0,Packers,Eddie Lee Ivery 1 yard rush (Al Del Greco kick),6,14
4,3.0,Packers,Al Del Greco 21 yard field goal,6,17
5,3.0,Packers,Eddie Lee Ivery 2 yard rush (Al Del Greco kick),6,24
6,4.0,Packers,Tim Lewis 99 yard interception return (Al Del Greco kick),6,31
