,Quarter,Tm,Detail,SFO,DET
0,1.0,Lions,Terry Barr 2 yard pass from Earl Morrall (Wayne Walker kick),0,7
1,1.0,Lions,Tom Watkins 90 yard punt return (Wayne Walker kick),0,14
2,2.0,49ers,Tommy Davis 31 yard field goal,3,14
3,3.0,Lions,"Safety, Maher blocked punt",3,16
4,3.0,Lions,Wayne Walker 45 yard field goal,3,19
5,4.0,Lions,Gail Cogdill 30 yard pass from Milt Plum (Wayne Walker kick),3,26
