,Quarter,Tm,Detail,ATL,NOR
0,1.0,Falcons,Fred Steinfort 36 yard field goal,3,0
1,2.0,Saints,Chuck Muncie 1 yard rush (Rich Szaro kick),3,7
2,2.0,Falcons,Alfred Jenkins 8 yard pass from Steve Bartkowski (Fred Steinfort kick),10,7
3,2.0,Falcons,Fred Steinfort 40 yard field goal,13,7
4,2.0,Falcons,Rick Byas 72 yard interception return (Fred Steinfort kick),20,7
5,3.0,Saints,Henry Childs 13 yard pass from Archie Manning (Rich Szaro kick),20,14
6,4.0,Saints,Henry Childs 18 yard pass from Archie Manning (Rich Szaro kick),20,21
