,Quarter,Time,Tm,Detail,PIT,ARI
0,1,,Cardinals,Larry Centers 4 yard rush (Greg Davis kick),0,7
1,2,,Steelers,Bam Morris 11 yard rush (Gary Anderson kick),7,7
2,2,,Cardinals,Greg Davis 20 yard field goal,7,10
3,2,,Steelers,Yancey Thigpen 60 yard pass from Neil O'Donnell (Gary Anderson kick),14,10
4,2,,Cardinals,Ronald Moore 1 yard rush (Greg Davis kick),14,17
5,4,,Steelers,Gary Anderson 23 yard field goal,17,17
6,OT,,Cardinals,Greg Davis 51 yard field goal,17,20
