,Quarter,Tm,Detail,GNB,RAM
0,1.0,Packers,Carroll Dale 30 yard pass from Bart Starr (Don Chandler kick),7,0
1,2.0,Rams,Jack Snow 16 yard pass from Roman Gabriel (Bruce Gossett kick),7,7
2,2.0,Packers,Don Chandler 32 yard field goal,10,7
3,3.0,Rams,Jack Snow 11 yard pass from Roman Gabriel (Bruce Gossett kick),10,14
4,3.0,Rams,Bruce Gossett 23 yard field goal,10,17
5,3.0,Packers,Travis Williams 104 yard kickoff return (Don Chandler kick),17,17
6,4.0,Rams,Bruce Gossett 16 yard field goal,17,20
7,4.0,Packers,Chuck Mercein 4 yard rush (Don Chandler kick),24,20
8,4.0,Rams,Bernie Casey 5 yard pass from Roman Gabriel (Bruce Gossett kick),24,27
