,Quarter,Tm,Detail,BAL,SFO
0,1.0,Colts,Lou Michaels 10 yard field goal,3,0
1,1.0,49ers,Bernie Casey 8 yard pass from John Brodie (Tommy Davis kick),3,7
2,2.0,Colts,Raymond Berry 5 yard pass from Johnny Unitas (Lou Michaels kick),10,7
3,2.0,49ers,Ken Willard 29 yard pass from John Brodie (Tommy Davis kick),10,14
4,2.0,49ers,Ken Willard 1 yard rush (Tommy Davis kick),10,21
5,2.0,Colts,Tony Lorick 31 yard pass from Johnny Unitas (Lou Michaels kick),17,21
6,3.0,Colts,Lou Michaels 18 yard field goal,20,21
7,3.0,Colts,Jimmy Orr 12 yard pass from Johnny Unitas (Lou Michaels kick),27,21
8,4.0,Colts,Jimmy Orr 6 yard pass from Johnny Unitas (Lou Michaels kick),34,21
9,4.0,49ers,John David Crow 3 yard pass from George Mira (Tommy Davis kick),34,28
