,Quarter,Time,Tm,Detail,DAL,WAS
0,1.0,,Cowboys,Emmitt Smith 4 yard rush (Chris Boniol kick),7,0
1,2.0,3:23,Cowboys,Emmitt Smith 6 yard rush (Chris Boniol kick),14,0
2,2.0,3:23,Cowboys,Chris Boniol 28 yard field goal,17,0
3,2.0,3:23,Cowboys,Jay Novacek 3 yard pass from Troy Aikman (Chris Boniol kick),24,0
4,2.0,3:23,Cowboys,Lincoln Coleman 7 yard rush (Chris Boniol kick),31,0
5,3.0,3:23,Cowboys,Chris Boniol 47 yard field goal,34,0
6,3.0,3:23,Redskins,Frank Wycheck 8 yard pass from Heath Shuler (Chip Lohmiller kick),34,7
