,Quarter,Time,Tm,Detail,JAX,TEN
0,1.0,13:28,Titans,Jonnu Smith 13 yard pass from Ryan Tannehill (Stephen Gostkowski kick),0,7
1,1.0,5:48,Titans,Corey Davis 9 yard pass from Ryan Tannehill (Stephen Gostkowski kick),0,14
2,1.0,3:47,Jaguars,Tyler Eifert 19 yard pass from Gardner Minshew II (Josh Lambo kick),7,14
3,2.0,1:52,Titans,Jonnu Smith 4 yard pass from Ryan Tannehill (Stephen Gostkowski kick),7,21
4,2.0,0:15,Jaguars,Josh Lambo 35 yard field goal,10,21
5,2.0,0:05,Titans,Stephen Gostkowski 51 yard field goal,10,24
6,3.0,7:08,Jaguars,James Robinson 17 yard rush (Josh Lambo kick),17,24
7,3.0,2:09,Titans,Adam Humphries 18 yard pass from Ryan Tannehill (Stephen Gostkowski kick failed),17,30
8,4.0,14:22,Jaguars,Keelan Cole 2 yard pass from Gardner Minshew II (Josh Lambo kick failed),23,30
9,4.0,7:29,Jaguars,Chris Thompson 14 yard pass from Gardner Minshew II (Josh Lambo kick),30,30
10,4.0,1:41,Titans,Stephen Gostkowski 49 yard field goal,30,33
