,Quarter,Time,Tm,Detail,GNB,TAM
0,1.0,10:52,Buccaneers,Martin Gramatica 49 yard field goal,0,3
1,2.0,14:44,Buccaneers,Martin Gramatica 28 yard field goal,0,6
2,2.0,7:06,Buccaneers,Martin Gramatica 33 yard field goal,0,9
3,2.0,2:05,Packers,Ryan Longwell 46 yard field goal,3,9
4,2.0,0:21,Packers,Dorsey Levens 20 yard pass from Brett Favre (Ryan Longwell kick),10,9
5,3.0,8:35,Buccaneers,Warrick Dunn 8 yard pass from Shaun King (Martin Gramatica kick),10,16
6,4.0,11:30,Buccaneers,Mike Alstott 5 yard rush (pass failed),10,22
7,4.0,4:41,Buccaneers,Mike Alstott 17 yard rush (Martin Gramatica kick),10,29
