,Quarter,Tm,Detail,OAK,NYJ
0,1.0,Raiders,Warren Wells 34 yard pass from Daryle Lamonica (George Blanda kick),7,0
1,1.0,Jets,Bake Turner 54 yard pass from Joe Namath (Jim Turner kick),7,7
2,2.0,Raiders,Daryle Lamonica 1 yard rush (George Blanda kick),14,7
3,2.0,Raiders,Warren Wells 20 yard pass from Daryle Lamonica (George Blanda kick),21,7
4,2.0,Jets,Bill Mathis 1 yard rush (Jim Turner kick),21,14
5,3.0,Raiders,George Blanda 23 yard field goal,24,14
6,4.0,Raiders,George Blanda 37 yard field goal,27,14
