,Quarter,Tm,Detail,SDG,PIT
0,1.0,Steelers,Ron Shanklin 12 yard pass from Terry Bradshaw (Roy Gerela kick),0,7
1,1.0,Steelers,Terry Bradshaw 1 yard rush (Roy Gerela kick),0,14
2,1.0,Steelers,Roy Gerela 38 yard field goal,0,17
3,2.0,Steelers,Steve Davis 1 yard rush (Roy Gerela kick),0,24
4,2.0,Steelers,Mike Wagner special teams fumble recovery in end zone (Roy Gerela kick),0,31
5,2.0,Steelers,Ron Shanklin 37 yard pass from Terry Hanratty (Roy Gerela kick),0,38
6,4.0,Chargers,Jerry LeVias 13 yard pass from Dan Fouts (Ray Wersching kick),7,38
7,4.0,Chargers,Clint Jones 3 yard rush (Ray Wersching kick),14,38
8,4.0,Chargers,Robert Holmes 1 yard rush (Ray Wersching kick),21,38
