,Quarter,Tm,Detail,PHI,DEN
0,1.0,Eagles,Keith Byars 16 yard rush (Luis Zendejas kick),7,0
1,1.0,Eagles,Cris Carter 5 yard pass from Randall Cunningham (Luis Zendejas kick),14,0
2,2.0,Broncos,John Elway 10 yard rush (David Treadwell kick),14,7
3,3.0,Eagles,Jimmie Giles 66 yard pass from Randall Cunningham (Luis Zendejas kick),21,7
4,3.0,Broncos,Vance Johnson 13 yard pass from John Elway (David Treadwell kick),21,14
5,3.0,Broncos,David Treadwell 18 yard field goal,21,17
6,4.0,Broncos,Mel Bratton 4 yard pass from John Elway (David Treadwell kick),21,24
7,4.0,Eagles,Keith Byars 1 yard rush (Luis Zendejas kick),28,24
