,Quarter,Time,Tm,Detail,DAL,TEN
0,1.0,8:48,Titans,Derrick Mason 17 yard pass from Steve McNair (Al Del Greco kick),0,7
1,3.0,14:00,Titans,Eddie George 11 yard rush (Al Del Greco kick),0,14
2,3.0,11:35,Titans,Henry Ford 30 yard defensive fumble return (Al Del Greco kick),0,21
3,3.0,5:27,Titans,Keith Bulluck 8 yard interception return (Al Del Greco kick),0,28
4,3.0,0:51,Titans,Al Del Greco 21 yard field goal,0,31
