,Quarter,Time,Tm,Detail,NWE,MIA
0,1.0,7:25,Patriots,Terry Allen 6 yard rush (Adam Vinatieri kick),7,0
1,1.0,3:00,Dolphins,Olindo Mare 19 yard field goal,7,3
2,2.0,14:08,Patriots,Adam Vinatieri 27 yard field goal,10,3
3,2.0,8:24,Dolphins,Oronde Gadsden 4 yard pass from Damon Huard (Olindo Mare kick),10,10
4,3.0,8:55,Dolphins,Oronde Gadsden 3 yard pass from Damon Huard (Olindo Mare kick),10,17
5,3.0,3:19,Dolphins,J.J. Johnson 1 yard rush (Olindo Mare kick),10,24
6,3.0,2:50,Patriots,Shawn Jefferson 68 yard pass from Drew Bledsoe (Adam Vinatieri kick),17,24
7,4.0,3:11,Dolphins,Olindo Mare 23 yard field goal,17,27
