,Quarter,Tm,Detail,DET,PHI
0,1.0,Eagles,Clarence Peaks 1 yard rush (Bobby Walston kick),0,7
1,2.0,Eagles,Ted Dean 22 yard pass from Norm Van Brocklin (Bobby Walston kick),0,14
2,2.0,Lions,Jim Martin 33 yard field goal,3,14
3,3.0,Lions,Joe Schmidt 17 yard interception return (Jim Martin kick),10,14
4,4.0,Eagles,Bobby Walston 38 yard pass from Norm Van Brocklin (Bobby Walston kick),10,21
5,4.0,Eagles,Clarence Peaks 49 yard rush (Bobby Walston kick),10,28
