,Quarter,Tm,Detail,DET,SFO
0,1.0,Lions,Errol Mann 31 yard field goal,3,0
1,1.0,49ers,Dick Witcher 12 yard pass from John Brodie (Bruce Gossett kick),3,7
2,2.0,Lions,Errol Mann 39 yard field goal,6,7
3,2.0,49ers,Bruce Gossett 39 yard field goal,6,10
4,2.0,49ers,Ken Willard 10 yard pass from John Brodie (Bruce Gossett kick),6,17
5,2.0,Lions,Altie Taylor 14 yard rush (Errol Mann kick),13,17
6,3.0,Lions,Steve Owens 1 yard rush (Errol Mann kick),20,17
7,3.0,49ers,Gene Washington 30 yard pass from John Brodie (Bruce Gossett kick),20,24
8,3.0,Lions,Charlie Sanders 6 yard pass from Greg Landry (Errol Mann kick),27,24
9,4.0,49ers,John Brodie 10 yard rush (Bruce Gossett kick),27,31
