,Quarter,Tm,Detail,BAL,MIA
0,1,Dolphins,Garo Yepremian 40 yard field goal,0,3
1,2,Dolphins,Paul Warfield 14 yard pass from Earl Morrall (Garo Yepremian kick),0,10
2,3,Dolphins,Garo Yepremian 50 yard field goal,0,13
3,4,Dolphins,Garo Yepremian 35 yard field goal,0,16
